Transaction_ID,Transaction_Date,Company_Code,Cost_Center,Profit_Center,Account_Category,Transaction_Type,Amount,Budget,Payment_Status,Description,Quantity,Department,Currency,Invoice_ID,Vendor_ID,Tax_Amount,Profit,Approval_Status,Anomaly_Indicator
TX004107,05-30-2023,C001,CC112,PC205,Procurement,Expense,335699.21,317327.44,Partially Paid,Software license purchase,236,Operations,INR,INV-2023-03230,V029,60230.88,,Approved,0
TX005769,05-03-2024,C002,CC101,PC207,Salaries,Expense,278504.2,245556.44,Overdue,Employee payroll disbursement,1,Finance,INR,,,0,,Approved,0
TX004401,06-22-2023,C004,CC107,PC204,Logistics,Expense,198784.46,198599.3,Paid,Shipping cost settlement,210,Procurement,INR,,V028,33972.57,,Approved,0
TX008985,06-09-2025,C002,CC101,PC204,IT,Expense,564370.62,691700.1,Paid,IT support services,8,Finance,INR,INV-2025-07046,V003,102349.92,,Under Review,0
TX004548,07-05-2023,C001,CC102,PC203,Sales,Revenue,240081.56,218753.04,Overdue,Service revenue recognition,167,Sales,INR,INV-2023-03581,,44167.36,80898.29,Approved,0
TX006505,07-12-2024,C001,CC111,PC201,Marketing,Expense,642727.99,440195.02,Paid,Brand promotion expense,1,Sales,INR,INV-2024-05112,V032,0,,Approved,0
TX004477,07-16-2023,C004,CC108,PC204,Other,Expense,51902.41,62195.73,Paid,General ledger correction entry,1,Administration,INR,INV-2023-03525,,5094.01,,Approved,0
TX006442,07-24-2024,C004,CC107,PC205,Procurement,Expense,657185.66,645805.16,Paid,Raw material procurement,466,Procurement,INR,INV-2024-05062,V009,108867.07,,Approved,0
TX008716,07-27-2025,C002,CC105,PC202,Marketing,Expense,715208.88,611083.17,Overdue,Brand promotion expense,1,Marketing,INR,INV-2025-06836,V017,134284.16,,Approved,0
TX000472,07-04-2021,C002,CC105,PC205,IT,Expense,40199.35,38053.54,Partially Paid,Cloud infrastructure subscription,10,Marketing,INR,INV-2021-00372,V004,6974.99,,Under Review,0
TX008316,08-05-2025,C002,CC105,PC204,Marketing,Expense,441696.26,476044.38,Partially Paid,Brand promotion expense,1,Marketing,INR,INV-2025-06535,V001,83511.49,,Approved,0
TX004739,09-04-2023,C003,CC101,PC203,Salaries,Expense,455039.47,447800.24,Overdue,Employee payroll disbursement,1,Finance,INR,,,0,,Pending,0
TX000736,09-06-2021,C002,CC103,PC206,Sales,Revenue,355572.52,423040.58,Overdue,Customer order fulfillment revenue,372,Sales,INR,INV-2021-00576,,66523.41,75870.73,Pending,0
TX006968,10-08-2024,C003,CC109,PC201,Salaries,Expense,415169.65,410516.96,Paid,Monthly salary payment,1,Finance,INR,,,0,,Approved,0
TX006940,10-18-2024,C001,CC103,PC207,Other,Expense,65798.81,50207.63,Overdue,Sundry adjustment,1,HR,INR,INV-2024-05446,,6607.65,,Approved,0
TX009122,10-25-2025,C003,CC114,PC202,Utilities,Expense,46503.77,41889.93,Paid,Water and gas utility charge,1,Administration,INR,INV-2025-07157,V025,5472.9,,Approved,0
TX007008,10-30-2024,C004,CC109,PC205,Office Supplies,Expense,23162.95,26251.9,Partially Paid,Stationery order,20,Finance,INR,,,0,,Approved,0
TX006152,10-05-2024,C002,CC106,PC203,Procurement,Expense,870574.91,880319.69,Paid,Vendor purchase order settlement,1094,Operations,INR,INV-2024-04835,V014,148394.05,,Approved,0
TX009409,11-16-2025,C002,CC102,PC202,Office Supplies,Expense,57283.64,53224.84,Paid,Office supplies purchase,66,IT,INR,INV-2025-07378,,6613.49,,Approved,0
TX003391,12-03-2022,C001,CC108,PC205,Utilities,Expense,12884.05,13535.68,Overdue,Electricity bill payment,1,Administration,INR,INV-2022-02667,,0,,Approved,0
TX001512,12-30-2021,C001,CC106,PC201,Maintenance,Expense,87543.81,119243.1,Pending,Equipment maintenance,1,Operations,INR,INV-2021-01204,V011,16036.13,,Approved,0
TX009680,12-31-2025,C003,CC102,PC205,Procurement,Expense,740342.65,724652.09,Pending,Software license purchase,693,IT,INR,,V036,136369.64,,Approved,0
TX006503,17-07-2024,C001,CC109,PC203,Other,Expense,105045.07,122740.08,Pending,General ledger correction entry,1,Finance,INR,INV-2024-05111,,10260.68,,Approved,0
TX008593,17-07-2025,C003,CC108,PC202,Other,Expense,41565.81,32450.34,Paid,Sundry adjustment,1,Administration,INR,INV-2025-06748,,3818.14,,Pending,0
TX004744,17-09-2023,C003,CC109,PC202,IT,Expense,212657.35,216207.84,Paid,IT support services,34,Finance,INR,INV-2023-03735,V022,39323.79,,Approved,0
TX001213,19-10-2021,C001,CC106,PC202,Sales,Revenue,636546.44,570770.04,Paid,Export sales revenue,506,Sales,INR,INV-2021-00970,,116975.1,243703.3,Approved,0
TX005205,19-11-2023,C005,CC114,PC201,Other,Expense,9583.42,9018.31,Paid,Sundry adjustment,1,Administration,INR,,,923.64,,Approved,0
TX000090,20-01-2021,C001,CC102,PC202,Office Supplies,Expense,29943.99,29135.69,Paid,Stationery order,27,IT,INR,INV-2021-00064,V025,3553.43,,Under Review,0
TX000197,20-02-2021,C004,CC105,PC207,Travel,Expense,148933.17,160396.2,Partially Paid,Business travel expense,3,Marketing,INR,INV-2021-00151,,7440.07,,Approved,0
TX008692,20-07-2025,C002,CC106,PC207,Maintenance,Expense,237406.22,229479.15,Paid,Preventive maintenance contract,1,Operations,INR,INV-2025-06819,V025,42151.65,,Approved,0
TX005349,20-12-2023,C002,CC104,PC207,Sales,Revenue,648694.96,907266.72,Paid,Service revenue recognition,799,Sales,INR,,,118909.77,168268.43,Approved,0
TX000104,01-01-2021,C003,CC105,PC205,Travel,Expense,68740.3,75933.53,Partially Paid,Client visit travel reimbursement,1,Marketing,INR,INV-2021-00077,,3376.8,,Approved,0
TX000087,01-01-2021,C001,CC105,PC202,Marketing,Expense,185300.97,195127.56,Paid,Trade show sponsorship,1,Marketing,INR,,V019,0,,Approved,0
TX000053,01-01-2021,C001,CC104,PC202,Sales,Revenue,489223.31,466295.25,Partially Paid,Export sales revenue,353,Sales,INR,INV-2021-00041,,86671.66,170939,Approved,0
TX000047,01-01-2021,C002,CC104,PC204,Sales,Revenue,133257.58,145793.08,Paid,Product sales revenue,93,Sales,INR,,,23594.9,47721.98,Under Review,0
TX000041,01-01-2021,C001,CC109,PC207,Salaries,Expense,182655,200553.8,Paid,Salary and benefits payout,1,Finance,INR,,,0,,Approved,0
TX000039,01-01-2021,C004,CC114,PC205,Utilities,Expense,24106.68,19982.05,Overdue,Electricity bill payment,1,Administration,INR,INV-2021-00032,V037,2766.49,,Approved,0
TX000034,01-01-2021,C003,CC102,PC202,IT,Expense,342374.67,385633.29,Paid,Cloud infrastructure subscription,1,IT,INR,,V016,0,,Approved,0
TX000029,01-01-2021,C004,CC108,PC204,Maintenance,Expense,54651.99,45606.29,Paid,Preventive maintenance contract,1,Administration,INR,,V003,9371.39,,Approved,0
TX000018,01-01-2021,C004,CC109,PC203,Other,Expense,88396.27,87985.59,Overdue,General ledger correction entry,1,Finance,INR,INV-2021-00017,,8041.99,,Approved,0
TX000114,02-01-2021,C001,CC107,PC207,Office Supplies,Expense,46257.65,36547.18,Partially Paid,Stationery order,39,Procurement,INR,INV-2021-00085,V035,5592.07,,Approved,0
TX000084,02-01-2021,C003,CC104,PC203,Sales,Revenue,943217.88,1175953.51,Overdue,Customer order fulfillment revenue,714,Sales,INR,INV-2021-00062,,169996.18,425072.94,Approved,0
TX000074,02-01-2021,C004,CC102,PC203,Office Supplies,Expense,28057.57,28727,Paid,Stationery order,31,IT,INR,INV-2021-00053,V038,3249.27,,Approved,0
TX000058,02-01-2021,C005,CC106,PC205,Procurement,Expense,1704418.37,531059.56,Paid,Raw material procurement,229,Operations,INR,,V002,306526.87,,Approved,1
TX000032,02-01-2021,C001,CC114,PC203,Other,Expense,48449.43,61815.85,Pending,Sundry adjustment,1,Administration,INR,,,4616.41,,Approved,0
TX000014,02-01-2021,C005,CC113,PC204,Other,Expense,44225.15,35861.41,Pending,General ledger correction entry,1,Marketing,INR,INV-2021-00014,,4379.36,,Rejected,0
TX000094,03-01-2021,C002,CC109,PC202,Office Supplies,Expense,25122.38,23773.94,Paid,Stationery order,15,Finance,INR,INV-2021-00067,V024,3088.97,,Rejected,0
TX000088,03-01-2021,C005,CC102,PC204,Maintenance,Expense,28211.47,30140.83,Paid,Facility repair service,1,IT,INR,,V034,4900.75,,Pending,0
TX000064,03-01-2021,C001,CC114,PC203,Utilities,Expense,10112.59,10186.53,Paid,Electricity bill payment,1,Administration,INR,,V034,1244.35,,Approved,0
TX000036,03-01-2021,C001,CC104,PC201,Sales,Revenue,453694.55,494434.16,Overdue,Online sales revenue,575,Sales,INR,INV-2021-00029,,76133.72,170511.69,Approved,0
TX000024,03-01-2021,C001,CC113,PC203,Other,Expense,79989.03,70297.08,Partially Paid,Miscellaneous expense,1,Marketing,INR,INV-2021-00023,,7869.17,,Approved,0
TX000101,04-01-2021,C003,CC112,PC203,Logistics,Expense,256778.35,295199.66,Pending,Freight and logistics charge,149,Operations,INR,INV-2021-00074,V021,44504.14,,Approved,0
TX000091,04-01-2021,C002,CC113,PC205,Travel,Expense,62878.92,53519.49,Paid,Airfare and lodging expense,1,Marketing,INR,INV-2021-00065,,3153.09,,Approved,0
TX000016,04-01-2021,C003,CC109,PC206,Office Supplies,Expense,40291.51,42919.91,Paid,Stationery order,31,Finance,INR,INV-2021-00016,V025,4877.68,,Approved,0
TX009712,05-01-2021,C001,CC107,PC202,Logistics,Expense,133369.93,135228.8,Paid,Shipping cost settlement,79,Procurement,INR,INV-2021-00044,V023,22631.04,,Approved,0
TX000069,05-01-2021,C002,CC106,PC204,Utilities,Expense,85474.9,96887.12,Overdue,Utility bill,1,Operations,INR,INV-2021-00049,V001,10298.31,,Approved,0
TX000067,05-01-2021,C002,CC112,PC202,Maintenance,Expense,91812.29,72765.32,Paid,Preventive maintenance contract,1,Operations,INR,,V016,16849.31,,Approved,0
TX000057,05-01-2021,C001,CC107,PC202,Logistics,Expense,133369.93,135228.8,Paid,Shipping cost settlement,79,Procurement,INR,INV-2021-00044,V023,22631.04,,Approved,0
TX000035,05-01-2021,C003,CC109,PC203,Office Supplies,Expense,20120.59,23874.41,Paid,Stationery order,28,Finance,INR,INV-2021-00028,V025,2354.81,,Approved,0
TX000096,06-01-2021,C003,CC105,PC203,IT,Expense,206338.1,236294.88,Paid,Hardware upgrade purchase,1,Marketing,INR,INV-2021-00069,V038,36475.24,,Approved,0
TX000011,06-01-2021,C003,CC108,PC206,Office Supplies,Expense,14387.66,12876.02,Paid,Stationery order,10,Administration,INR,INV-2021-00011,V014,1785.14,,Approved,0
TX000002,06-01-2021,C001,CC113,PC205,Marketing,Expense,112984.7,124172.46,Paid,Digital advertising spend,1,Marketing,INR,INV-2021-00002,V027,0,,Approved,0
TX000022,07-01-2021,C001,CC103,PC204,Sales,Revenue,296754.81,368764.23,Pending,Customer order fulfillment revenue,185,Sales,INR,INV-2021-00021,,54489.06,82675.69,Pending,0
TX000048,08-01-2021,C002,CC106,PC205,Utilities,Expense,65530.75,72838.25,Paid,Electricity bill payment,1,Operations,INR,,V024,7839.3,,Approved,0
TX000042,08-01-2021,C003,CC106,PC204,Utilities,Expense,96883.69,92943.88,Paid,Utility bill,1,Operations,INR,INV-2021-00034,V012,11938.99,,Approved,0
TX000040,08-01-2021,C001,CC103,PC207,Other,Expense,62275.5,74632.02,Paid,Sundry adjustment,1,HR,INR,INV-2021-00033,,6045.03,,Approved,0
TX000021,08-01-2021,C001,CC110,PC205,Office Supplies,Expense,20865.95,23173.31,Paid,Printer consumables purchase,16,IT,INR,INV-2021-00020,V010,2385.24,,Pending,0
TX000010,08-01-2021,C003,CC102,PC202,Office Supplies,Expense,51376.1,46047.93,Paid,Office supplies purchase,70,IT,INR,INV-2021-00010,V040,6083.02,,Approved,0
TX000106,09-01-2021,C003,CC105,PC203,Travel,Expense,122348.76,137807.98,Paid,Airfare and lodging expense,1,Marketing,INR,INV-2021-00079,,6112.89,,Rejected,0
TX000102,09-01-2021,C001,CC109,PC205,IT,Expense,168624.62,149939.25,Paid,IT support services,3,Finance,INR,INV-2021-00075,V037,29007.78,,Approved,0
TX000085,09-01-2021,C002,CC102,PC207,IT,Expense,32389.09,31602.6,Paid,Hardware upgrade purchase,3,IT,INR,INV-2021-00063,V015,5725.62,,Approved,0
TX000076,09-01-2021,C002,CC106,PC205,Procurement,Expense,867385.79,856429.48,Paid,Raw material procurement,482,Operations,INR,INV-2021-00055,V016,0,,Approved,0
TX000075,09-01-2021,C001,CC101,PC203,Office_Supplies,Expense,27291.85,32073.93,Paid,Printer consumables purchase,31,Finance,INR,INV-2021-00054,V005,3274.57,,Approved,0
TX000070,09-01-2021,C002,CC111,PC202,Travel,Expense,59377.24,67410.04,Paid,Business travel expense,2,Sales,INR,,,2931.66,,Rejected,0
TX000093,10-01-2021,C005,CC107,PC203,Maintenance,Expense,45924.62,51853.71,Overdue,Preventive maintenance contract,1,Procurement,INR,INV-2021-00066,V031,8245.84,,Approved,0
TX000027,10-01-2021,C002,CC111,PC205,Marketing,Expense,444924.24,396129.6,Paid,Digital advertising spend,1,Sales,INR,INV-2021-00025,V037,83124.83,,Approved,0
TX000013,10-01-2021,C003,CC109,PC201,IT,Expense,113901.52,129254.68,Paid,Hardware upgrade purchase,16,Finance,INR,INV-2021-00013,V026,20760.91,,Approved,0
TX000004,10-01-2021,C003,CC101,PC204,IT,Expense,142094.88,154131.35,Pending,Cloud infrastructure subscription,1,Finance,INR,INV-2021-00004,V018,24452.03,,Approved,0
TX000105,11-01-2021,C004,CC113,PC207,Other,Expense,71028.38,72570.17,Overdue,Sundry adjustment,1,Marketing,INR,INV-2021-00078,,7406.63,,Approved,0
TX000059,11-01-2021,C001,CC104,PC206,Other,Expense,110702.02,119230.05,Paid,General ledger correction entry,1,Sales,INR,,,11295.78,,Approved,0
TX000023,11-01-2021,C004,CC102,PC201,Maintenance,Expense,121953.35,139390.64,Paid,Equipment maintenance,1,IT,INR,INV-2021-00022,V017,23096.44,,Approved,0
TX000003,11-01-2021,C004,CC103,PC203,Office Supplies,Expense,16230.6,16450.8,Paid,Printer consumables purchase,11,HR,INR,INV-2021-00003,V005,1974.12,,Approved,0
TX000097,12-01-2021,C004,CC104,PC203,Sales,Revenue,784397.58,637163.88,Partially Paid,Product sales revenue,1065,Sales,INR,INV-2021-00070,,142111.12,392390.33,Approved,0
TX000080,12-01-2021,C003,CC104,PC202,Sales,Revenue,481709.16,502965.98,Paid,Online sales revenue,414,Sales,INR,INV-2021-00059,,85220.88,178619,Pending,0
TX000037,12-01-2021,C001,CC110,PC205,Procurement,Expense,423459.98,434821.13,Paid,Software license purchase,416,IT,INR,INV-2021-00030,V012,74838.77,,Approved,0
TX000043,13-01-2021,C002,CC104,PC204,Sales,Revenue,922555.79,1065769.12,Pending,Export sales revenue,663,Sales,INR,INV-2021-00035,,163532.59,252941.98,Approved,0
TX000031,13-01-2021,C001,CC111,PC205,Travel,Expense,36333.65,44873.94,Paid,Airfare and lodging expense,1,Sales,INR,,,1854.49,,Approved,0
TX000115,14-01-2021,C002,CC101,PC205,Other,Expense,90310.6,92555.49,Paid,Sundry adjustment,1,Finance,INR,,,8822.07,,Approved,0
TX000098,14-01-2021,C005,CC113,PC205,Other,Expense,83720.61,71003.16,Pending,Miscellaneous expense,1,Marketing,INR,INV-2021-00071,,8189.77,,Approved,0
TX000095,14-01-2021,C001,CC106,PC205,Procurement,Expense,125540.79,166683.25,Paid,Office equipment purchase,187,Operations,INR,INV-2021-00068,,23374.99,,Approved,0
TX000072,14-01-2021,C002,CC111,PC207,Office Supplies,Expense,12538.32,12835.77,Paid,Printer consumables purchase,10,Sales,INR,INV-2021-00051,,1505.92,,Approved,0
TX000046,14-01-2021,C001,CC104,PC207,Marketing,Expense,376804.65,422459.79,Paid,Trade show sponsorship,1,Sales,INR,,V004,66859.2,,Approved,0
TX000109,15-01-2021,C005,CC109,PC206,Office Supplies,Expense,26068,30792.79,Partially Paid,Printer consumables purchase,21,Finance,INR,,V003,3145.01,,Approved,0
TX000083,15-01-2021,C003,CC101,PC202,Office Supplies,Expense,15553.02,15507.29,Paid,Printer consumables purchase,14,Finance,INR,INV-2021-00061,V027,1846.44,,Under Review,0
TX000025,15-01-2021,C002,CC106,PC207,Utilities,Expense,72713.53,79785.33,Paid,Utility bill,1,Operations,INR,,V011,0,,Approved,0
TX000111,16-01-2021,C001,CC106,PC207,Sales,Revenue,238491.86,191567.51,Paid,Online sales revenue,192,Sales,INR,INV-2021-00082,,41820.62,103265.89,Approved,0
TX000110,16-01-2021,C002,CC112,PC201,Logistics,Expense,85069.26,92278.65,Paid,Freight and logistics charge,70,Operations,INR,INV-2021-00081,V025,14968.77,,Under Review,0
TX000045,16-01-2021,C003,CC108,PC205,Office Supplies,Expense,8440.74,10319.75,Overdue,Printer consumables purchase,7,Administration,INR,INV-2021-00036,V034,1012.37,,Rejected,0
TX000055,17-01-2021,C002,CC107,PC203,Maintenance,Expense,99506.76,83099.78,Paid,Equipment maintenance,1,Procurement,INR,INV-2021-00043,V024,18459.51,,Approved,0
TX000015,17-01-2021,C004,CC104,PC204,Sales,Revenue,674476.49,590275.19,Paid,Customer order fulfillment revenue,899,Sales,INR,INV-2021-00015,,119028.8,158255.45,Approved,0
TX000108,18-01-2021,C003,CC104,PC206,Other,Expense,60636.61,72311.78,Paid,Miscellaneous expense,1,Sales,INR,,,0,,Approved,0
TX000012,18-01-2021,C004,CC110,PC203,IT,Expense,263168.24,199751.01,Paid,Cloud infrastructure subscription,56,IT,INR,INV-2021-00012,V005,46601.93,,Approved,0
TX000065,19-01-2021,C004,CC105,PC205,Other,Expense,1195597.9,118558.46,Paid,Miscellaneous expense,1,Marketing,INR,INV-2021-00046,,0,,Approved,0
TX000063,19-01-2021,C002,CC111,PC206,Travel,Expense,22403.06,23928.53,Partially Paid,Airfare and lodging expense,2,Sales,INR,,,1086.35,,Approved,0
TX000038,19-01-2021,C001,CC101,PC207,Sales,Revenue,98419.08,91625.91,Paid,Customer order fulfillment revenue,85,Sales,INR,INV-2021-00031,,18124.84,31855.86,Approved,0
TX000020,19-01-2021,C001,CC113,PC201,Travel,Expense,13599.38,11939.72,Paid,Business travel expense,3,Marketing,INR,INV-2021-00019,,690.9,,Approved,0
TX000006,19-01-2021,C002,CC114,PC207,Office Supplies,Expense,13640.59,12369.05,Overdue,Stationery order,8,Administration,INR,INV-2021-00006,V013,1659.4,,Approved,0
TX000100,20-01-2021,C003,CC107,PC203,Logistics,Expense,156321.37,202786.36,Paid,Shipping cost settlement,208,Procurement,INR,INV-2021-00073,V037,28123.57,,Pending,0
TX000060,20-01-2021,C003,CC114,PC202,Maintenance,Expense,27993.98,25783.13,Paid,Preventive maintenance contract,1,Administration,INR,,V026,5134.74,,Approved,0
TX000051,20-01-2021,C002,CC108,PC204,Office Supplies,Expense,16477.01,18283.6,Paid,"""""",15,Administration,INR,INV-2021-00039,V004,1982.35,,Approved,0
TX000005,20-01-2021,C003,CC111,PC202,Sales,Revenue,457253.93,505716.77,Paid,Online sales revenue,269,Sales,INR,INV-2021-00005,,82126.33,171880.62,Approved,0
TX000056,21-01-2021,C002,CC113,PC204,IT,Expense,226349.28,249488.58,Partially Paid,Software license purchase,6,Marketing,INR,,V026,42740.42,,Approved,0
TX000107,22-01-2021,C004,CC101,PC205,Office Supplies,Expense,57827.74,16689.84,Pending,Printer consumables purchase,19,Finance,INR,INV-2021-00080,V034,6466.61,,Pending,1
TX000089,22-01-2021,C002,CC114,PC206,Other,Expense,26797.98,30182.69,Pending,Miscellaneous expense,1,Administration,INR,,,2793.66,,Approved,0
TX000081,22-01-2021,C003,CC104,PC206,Travel,Expense,155215.43,168562.63,Pending,Client visit travel reimbursement,1,Sales,INR,,,7870.73,,Approved,0
TX000001,22-01-2021,C004,CC112,PC205,Logistics,Expense,106969.88,93309,Pending,Warehouse handling fee,86,Operations,INR,INV-2021-00001,V036,19278.36,,Approved,0
TX000082,23-01-2021,C003,CC106,PC207,logistics,Expense,373529.5,523538.08,Paid,Warehouse handling fee,235,Operations,INR,INV-2021-00060,V037,68635.37,,Approved,0
TX000078,24-01-2021,C003,CC110,PC201,IT,Expense,175662.82,173283.85,Pending,Hardware upgrade purchase,8,IT,INR,INV-2021-00057,V001,30540.85,,Rejected,0
TX000054,24-01-2021,C004,CC104,PC201,Marketing,Expense,308684.16,362631.95,Paid,Marketing campaign,1,Sales,INR,INV-2021-00042,V026,53997.54,,Approved,0
TX000049,24-01-2021,C003,CC110,PC204,Procurement,Expense,482411.98,541794.67,Paid,Software license purchase,415,IT,INR,INV-2021-00037,V009,89996.06,,Under Review,0
TX000113,25-01-2021,C003,CC107,PC201,Logistics,Expense,301064.71,259717.51,Paid,Shipping cost settlement,305,Procurement,INR,INV-2021-00084,V038,54529.97,,Approved,0
TX000112,25-01-2021,C001,CC102,PC202,Office Supplies,Expense,42733.32,42803.04,Pending,Printer consumables purchase,32,IT,INR,INV-2021-00083,V003,4932.11,,Pending,0
TX000052,25-01-2021,C002,CC108,PC207,Maintenance,Expense,11304.23,12284.19,Paid,Facility repair service,1,Administration,INR,INV-2021-00040,V001,1953.92,,Approved,0
TX000033,25-01-2021,C001,CC105,PC201,Marketing,Expense,286633.74,253220.37,Partially Paid,Marketing campaign,1,Marketing,INR,INV-2021-00027,V013,0,,Approved,0
TX000017,25-01-2021,C003,CC105,PC202,Other,Expense,58772.39,70492.43,Paid,Sundry adjustment,1,Marketing,INR,,,6166.16,,Approved,0
TX000008,25-01-2021,C002,CC107,PC202,Logistics,Expense,111048.76,118911.96,Paid,Warehouse handling fee,98,Procurement,INR,INV-2021-00008,V029,19892.17,,Approved,0
TX000030,26-01-2021,C001,CC112,PC207,Utilities,Expense,19944.42,20492.63,Overdue,Water and gas utility charge,1,Operations,INR,INV-2021-00026,V024,2481.97,,Approved,0
TX000103,27-01-2021,C005,CC107,PC204,Office Supplies,Expense,48450.96,64777.05,Paid,Stationery order,46,Procurement,INR,INV-2021-00076,V005,5634.91,,Approved,0
TX000066,27-01-2021,C002,CC104,PC204,Other,Expense,149120.96,185319.03,Paid,Sundry adjustment,1,Sales,INR,INV-2021-00047,,14708.22,,Approved,0
TX000026,27-01-2021,C003,CC102,PC202,IT,Expense,329271.52,393952.53,Paid,Software license purchase,4,IT,INR,INV-2021-00024,V013,58757.09,,Approved,0
TX000092,28-01-2021,C005,CC111,PC205,Sales,Revenue,287599.44,369274.97,Overdue,Export sales revenue,378,Sales,INR,,,51924.19,76704.98,Approved,0
TX000068,28-01-2021,C001,CC108,PC206,Utilities,Expense,11019.96,12941.26,Paid,Electricity bill payment,1,Administration,INR,INV-2021-00048,,1320.19,,Approved,0
TX000062,28-01-2021,C001,CC104,PC206,Other,Expense,80002.6,94722.47,Paid,Sundry adjustment,1,Sales,INR,,,7806.18,,Pending,0
TX000044,28-01-2021,C001,CC104,PC202,Travel,Expense,36862.25,39614.36,Paid,Airfare and lodging expense,4,Sales,INR,,,1861.82,,Approved,0
TX000028,28-01-2021,C003,CC106,PC204,Utilities,Expense,99141.78,120938.23,Pending,Utility bill,1,Operations,INR,,V040,11971.1,,Approved,0
TX000007,28-01-2021,C004,CC106,PC204,Maintenance,Expense,277899.45,344750.45,Paid,Preventive maintenance contract,1,Operations,INR,INV-2021-00007,V035,51961.79,,Approved,0
TX000116,29-01-2021,C002,CC109,PC203,Office Supplies,Expense,5790.15,5630.15,Pending,Printer consumables purchase,6,Finance,INR,INV-2021-00086,,732.54,,Approved,0
TX000086,29-01-2021,C002,CC103,PC207,Office Supplies,Expense,28152.36,31347.02,Pending,Printer consumables purchase,20,HR,INR,,V005,3569.22,,Approved,0
TX000079,29-01-2021,C001,CC113,PC201,Travel,Expense,62300.35,56309.68,Paid,Business travel expense,5,Marketing,INR,INV-2021-00058,,3014.98,,Approved,0
TX000073,29-01-2021,C001,CC111,PC203,Sales,Revenue,402995.16,358633.57,Paid,Product sales revenue,316,Sales,INR,INV-2021-00052,,71460.58,149569.84,Approved,0
TX000071,29-01-2021,C004,CC104,PC205,Sales,Revenue,808974.57,804531.3,Paid,Export sales revenue,991,Sales,INR,INV-2021-00050,,142217.56,164711.4,Approved,0
TX000019,29-01-2021,C001,CC111,PC206,Travel,Expense,61063.01,71184.41,Partially Paid,Business travel expense,1,Sales,INR,INV-2021-00018,,2956.27,,Pending,0
TX000009,29-01-2021,C003,CC110,PC204,Maintenance,Expense,75309.21,70944.68,Paid,Equipment maintenance,1,IT,INR,INV-2021-00009,V034,13274.42,,Approved,0
TX000117,30-01-2021,C002,CC113,PC203,IT,Expense,241802.62,298968.72,Paid,Hardware upgrade purchase,4,Marketing,INR,,V008,0,,Approved,0
TX000099,30-01-2021,C001,CC111,PC207,Sales,Revenue,334324.66,385393.29,Paid,Export sales revenue,403,Sales,INR,INV-2021-00072,,58674.37,113741.12,Approved,0
TX000077,31-01-2021,C005,CC104,PC201,Sales,Revenue,630485.67,551859.62,Paid,Customer order fulfillment revenue,470,Sales,INR,INV-2021-00056,,114656.71,151037.73,Approved,0
TX000050,31-01-2021,C001,CC109,PC201,IT,Expense,216356.54,207621.45,Pending,IT support services,9,Finance,INR,INV-2021-00038,,39342.22,,Approved,0
TX000209,01-02-2021,C005,CC105,PC201,Marketing,Expense,1451743.47,331713.97,Paid,Marketing campaign,1,Marketing,INR,INV-2021-00162,V004,59462.62,,Rejected,1
