Transaction_ID,Transaction_Date,Company_Code,Cost_Center,Profit_Center,Account_Category,Transaction_Type,Amount,Budget,Payment_Status,Department,Currency,Tax_Amount,Profit,Approval_Status,Anomaly_Indicator,Final_Anomaly
TX000104,2021-01-01,C003,CC105,PC205,Travel,Expense,68740.3,75933.53,Partially Paid,Marketing,INR,3376.8,,Approved,0,0
TX000087,2021-01-01,C001,CC105,PC202,Marketing,Expense,185300.97,195127.56,Paid,Marketing,INR,0.0,,Approved,0,0
TX000053,2021-01-01,C001,CC104,PC202,Sales,Revenue,489223.31,466295.25,Partially Paid,Sales,INR,86671.66,170939.0,Approved,0,0
TX000047,2021-01-01,C002,CC104,PC204,Sales,Revenue,133257.58,145793.08,Paid,Sales,INR,23594.9,47721.98,Under Review,0,0
TX000041,2021-01-01,C001,CC109,PC207,Salaries,Expense,182655.0,200553.8,Paid,Finance,INR,0.0,,Approved,0,0
TX000039,2021-01-01,C004,CC114,PC205,Utilities,Expense,24106.68,19982.05,Overdue,Administration,INR,2766.49,,Approved,0,0
TX000034,2021-01-01,C003,CC102,PC202,IT,Expense,342374.67,385633.29,Paid,IT,INR,0.0,,Approved,0,0
TX000029,2021-01-01,C004,CC108,PC204,Maintenance,Expense,54651.99,45606.29,Paid,Administration,INR,9371.39,,Approved,0,0
TX000018,2021-01-01,C004,CC109,PC203,Other,Expense,88396.27,87985.59,Overdue,Finance,INR,8041.99,,Approved,0,0
TX000114,2021-01-02,C001,CC107,PC207,Office Supplies,Expense,46257.65,36547.18,Partially Paid,Procurement,INR,5592.07,,Approved,0,0
TX000084,2021-01-02,C003,CC104,PC203,Sales,Revenue,943217.88,1175953.51,Overdue,Sales,INR,169996.18,425072.94,Approved,0,0
TX000074,2021-01-02,C004,CC102,PC203,Office Supplies,Expense,28057.57,28727.0,Paid,IT,INR,3249.27,,Approved,0,0
TX000058,2021-01-02,C005,CC106,PC205,Procurement,Expense,1704418.37,531059.56,Paid,Operations,INR,306526.87,,Approved,1,1
TX000032,2021-01-02,C001,CC114,PC203,Other,Expense,48449.43,61815.85,Pending,Administration,INR,4616.41,,Approved,0,0
TX000014,2021-01-02,C005,CC113,PC204,Other,Expense,44225.15,35861.41,Pending,Marketing,INR,4379.36,,Rejected,0,0
TX000094,2021-01-03,C002,CC109,PC202,Office Supplies,Expense,25122.38,23773.94,Paid,Finance,INR,3088.97,,Rejected,0,0
TX000088,2021-01-03,C005,CC102,PC204,Maintenance,Expense,28211.47,30140.83,Paid,IT,INR,4900.75,,Pending,0,0
TX000064,2021-01-03,C001,CC114,PC203,Utilities,Expense,10112.59,10186.53,Paid,Administration,INR,1244.35,,Approved,0,0
TX000036,2021-01-03,C001,CC104,PC201,Sales,Revenue,453694.55,494434.16,Overdue,Sales,INR,76133.72,170511.69,Approved,0,0
TX000024,2021-01-03,C001,CC113,PC203,Other,Expense,79989.03,70297.08,Partially Paid,Marketing,INR,7869.17,,Approved,0,0
TX000101,2021-01-04,C003,CC112,PC203,Logistics,Expense,256778.35,295199.66,Pending,Operations,INR,44504.14,,Approved,0,0
TX000091,2021-01-04,C002,CC113,PC205,Travel,Expense,62878.92,53519.49,Paid,Marketing,INR,3153.09,,Approved,0,0
TX000016,2021-01-04,C003,CC109,PC206,Office Supplies,Expense,40291.51,42919.91,Paid,Finance,INR,4877.68,,Approved,0,0
TX009712,2021-01-05,C001,CC107,PC202,Logistics,Expense,133369.93,135228.8,Paid,Procurement,INR,22631.04,,Approved,0,0
TX000069,2021-01-05,C002,CC106,PC204,Utilities,Expense,85474.9,96887.12,Overdue,Operations,INR,10298.31,,Approved,0,0
TX000067,2021-01-05,C002,CC112,PC202,Maintenance,Expense,91812.29,72765.32,Paid,Operations,INR,16849.31,,Approved,0,0
TX000057,2021-01-05,C001,CC107,PC202,Logistics,Expense,133369.93,135228.8,Paid,Procurement,INR,22631.04,,Approved,0,0
TX000035,2021-01-05,C003,CC109,PC203,Office Supplies,Expense,20120.59,23874.41,Paid,Finance,INR,2354.81,,Approved,0,0
TX000096,2021-01-06,C003,CC105,PC203,IT,Expense,206338.1,236294.88,Paid,Marketing,INR,36475.24,,Approved,0,0
TX000011,2021-01-06,C003,CC108,PC206,Office Supplies,Expense,14387.66,12876.02,Paid,Administration,INR,1785.14,,Approved,0,0
TX000002,2021-01-06,C001,CC113,PC205,Marketing,Expense,112984.7,124172.46,Paid,Marketing,INR,0.0,,Approved,0,0
TX000022,2021-01-07,C001,CC103,PC204,Sales,Revenue,296754.81,368764.23,Pending,Sales,INR,54489.06,82675.69,Pending,0,0
TX000048,2021-01-08,C002,CC106,PC205,Utilities,Expense,65530.75,72838.25,Paid,Operations,INR,7839.3,,Approved,0,0
TX000042,2021-01-08,C003,CC106,PC204,Utilities,Expense,96883.69,92943.88,Paid,Operations,INR,11938.99,,Approved,0,0
TX000040,2021-01-08,C001,CC103,PC207,Other,Expense,62275.5,74632.02,Paid,HR,INR,6045.03,,Approved,0,0
TX000021,2021-01-08,C001,CC110,PC205,Office Supplies,Expense,20865.95,23173.31,Paid,IT,INR,2385.24,,Pending,0,0
TX000010,2021-01-08,C003,CC102,PC202,Office Supplies,Expense,51376.1,46047.93,Paid,IT,INR,6083.02,,Approved,0,0
TX000106,2021-01-09,C003,CC105,PC203,Travel,Expense,122348.76,137807.98,Paid,Marketing,INR,6112.89,,Rejected,0,0
TX000102,2021-01-09,C001,CC109,PC205,IT,Expense,168624.62,149939.25,Paid,Finance,INR,29007.78,,Approved,0,0
TX000085,2021-01-09,C002,CC102,PC207,IT,Expense,32389.09,31602.6,Paid,IT,INR,5725.62,,Approved,0,0
TX000076,2021-01-09,C002,CC106,PC205,Procurement,Expense,867385.79,856429.48,Paid,Operations,INR,0.0,,Approved,0,0
TX000075,2021-01-09,C001,CC101,PC203,Office Supplies,Expense,27291.85,32073.93,Paid,Finance,INR,3274.57,,Approved,0,0
TX000070,2021-01-09,C002,CC111,PC202,Travel,Expense,59377.24,67410.04,Paid,Sales,INR,2931.66,,Rejected,0,0
TX000093,2021-01-10,C005,CC107,PC203,Maintenance,Expense,45924.62,51853.71,Overdue,Procurement,INR,8245.84,,Approved,0,0
TX000027,2021-01-10,C002,CC111,PC205,Marketing,Expense,444924.24,396129.6,Paid,Sales,INR,83124.83,,Approved,0,0
TX000013,2021-01-10,C003,CC109,PC201,IT,Expense,113901.52,129254.68,Paid,Finance,INR,20760.91,,Approved,0,0
TX000004,2021-01-10,C003,CC101,PC204,IT,Expense,142094.88,154131.35,Pending,Finance,INR,24452.03,,Approved,0,0
TX000105,2021-01-11,C004,CC113,PC207,Other,Expense,71028.38,72570.17,Overdue,Marketing,INR,7406.63,,Approved,0,0
TX000059,2021-01-11,C001,CC104,PC206,Other,Expense,110702.02,119230.05,Paid,Sales,INR,11295.78,,Approved,0,0
TX000023,2021-01-11,C004,CC102,PC201,Maintenance,Expense,121953.35,139390.64,Paid,IT,INR,23096.44,,Approved,0,0
TX000003,2021-01-11,C004,CC103,PC203,Office Supplies,Expense,16230.6,16450.8,Paid,HR,INR,1974.12,,Approved,0,0
TX000097,2021-01-12,C004,CC104,PC203,Sales,Revenue,784397.58,637163.88,Partially Paid,Sales,INR,142111.12,392390.33,Approved,0,0
TX000080,2021-01-12,C003,CC104,PC202,Sales,Revenue,481709.16,502965.98,Paid,Sales,INR,85220.88,178619.0,Pending,0,0
TX000037,2021-01-12,C001,CC110,PC205,Procurement,Expense,423459.98,434821.13,Paid,IT,INR,74838.77,,Approved,0,0
TX000043,2021-01-13,C002,CC104,PC204,Sales,Revenue,922555.79,1065769.12,Pending,Sales,INR,163532.59,252941.98,Approved,0,0
TX000031,2021-01-13,C001,CC111,PC205,Travel,Expense,36333.65,44873.94,Paid,Sales,INR,1854.49,,Approved,0,0
TX000115,2021-01-14,C002,CC101,PC205,Other,Expense,90310.6,92555.49,Paid,Finance,INR,8822.07,,Approved,0,0
TX000098,2021-01-14,C005,CC113,PC205,Other,Expense,83720.61,71003.16,Pending,Marketing,INR,8189.77,,Approved,0,0
TX000095,2021-01-14,C001,CC106,PC205,Procurement,Expense,125540.79,166683.25,Paid,Operations,INR,23374.99,,Approved,0,0
TX000072,2021-01-14,C002,CC111,PC207,Office Supplies,Expense,12538.32,12835.77,Paid,Sales,INR,1505.92,,Approved,0,0
TX000046,2021-01-14,C001,CC104,PC207,Marketing,Expense,376804.65,422459.79,Paid,Sales,INR,66859.2,,Approved,0,0
TX000109,2021-01-15,C005,CC109,PC206,Office Supplies,Expense,26068.0,30792.79,Partially Paid,Finance,INR,3145.01,,Approved,0,0
TX000083,2021-01-15,C003,CC101,PC202,Office Supplies,Expense,15553.02,15507.29,Paid,Finance,INR,1846.44,,Under Review,0,0
TX000025,2021-01-15,C002,CC106,PC207,Utilities,Expense,72713.53,79785.33,Paid,Operations,INR,0.0,,Approved,0,0
TX000111,2021-01-16,C001,CC106,PC207,Sales,Revenue,238491.86,191567.51,Paid,Sales,INR,41820.62,103265.89,Approved,0,0
TX000110,2021-01-16,C002,CC112,PC201,Logistics,Expense,85069.26,92278.65,Paid,Operations,INR,14968.77,,Under Review,0,0
TX000045,2021-01-16,C003,CC108,PC205,Office Supplies,Expense,8440.74,10319.75,Overdue,Administration,INR,1012.37,,Rejected,0,0
TX000055,2021-01-17,C002,CC107,PC203,Maintenance,Expense,99506.76,83099.78,Paid,Procurement,INR,18459.51,,Approved,0,0
TX000015,2021-01-17,C004,CC104,PC204,Sales,Revenue,674476.49,590275.19,Paid,Sales,INR,119028.8,158255.45,Approved,0,0
TX000108,2021-01-18,C003,CC104,PC206,Other,Expense,60636.61,72311.78,Paid,Sales,INR,0.0,,Approved,0,0
TX000012,2021-01-18,C004,CC110,PC203,IT,Expense,263168.24,199751.01,Paid,IT,INR,46601.93,,Approved,0,0
TX000065,2021-01-19,C004,CC105,PC205,Other,Expense,1195597.9,118558.46,Paid,Marketing,INR,0.0,,Approved,0,1
TX000063,2021-01-19,C002,CC111,PC206,Travel,Expense,22403.06,23928.53,Partially Paid,Sales,INR,1086.35,,Approved,0,0
TX000038,2021-01-19,C001,CC101,PC207,Sales,Revenue,98419.08,91625.91,Paid,Sales,INR,18124.84,31855.86,Approved,0,0
TX000020,2021-01-19,C001,CC113,PC201,Travel,Expense,13599.38,11939.72,Paid,Marketing,INR,690.9,,Approved,0,0
TX000006,2021-01-19,C002,CC114,PC207,Office Supplies,Expense,13640.59,12369.05,Overdue,Administration,INR,1659.4,,Approved,0,0
TX000100,2021-01-20,C003,CC107,PC203,Logistics,Expense,156321.37,202786.36,Paid,Procurement,INR,28123.57,,Pending,0,0
TX000060,2021-01-20,C003,CC114,PC202,Maintenance,Expense,27993.98,25783.13,Paid,Administration,INR,5134.74,,Approved,0,0
TX000051,2021-01-20,C002,CC108,PC204,Office Supplies,Expense,16477.01,18283.6,Paid,Administration,INR,1982.35,,Approved,0,0
TX000005,2021-01-20,C003,CC111,PC202,Sales,Revenue,457253.93,505716.77,Paid,Sales,INR,82126.33,171880.62,Approved,0,0
TX000056,2021-01-21,C002,CC113,PC204,IT,Expense,226349.28,249488.58,Partially Paid,Marketing,INR,42740.42,,Approved,0,0
TX000107,2021-01-22,C004,CC101,PC205,Office Supplies,Expense,57827.74,16689.84,Pending,Finance,INR,6466.61,,Pending,1,0
TX000089,2021-01-22,C002,CC114,PC206,Other,Expense,26797.98,30182.69,Pending,Administration,INR,2793.66,,Approved,0,0
TX000081,2021-01-22,C003,CC104,PC206,Travel,Expense,155215.43,168562.63,Pending,Sales,INR,7870.73,,Approved,0,0
TX000001,2021-01-22,C004,CC112,PC205,Logistics,Expense,106969.88,93309.0,Pending,Operations,INR,19278.36,,Approved,0,0
TX000082,2021-01-23,C003,CC106,PC207,Logistics,Expense,373529.5,523538.08,Paid,Operations,INR,68635.37,,Approved,0,0
TX000078,2021-01-24,C003,CC110,PC201,IT,Expense,175662.82,173283.85,Pending,IT,INR,30540.85,,Rejected,0,0
TX000054,2021-01-24,C004,CC104,PC201,Marketing,Expense,308684.16,362631.95,Paid,Sales,INR,53997.54,,Approved,0,0
TX000049,2021-01-24,C003,CC110,PC204,Procurement,Expense,482411.98,541794.67,Paid,IT,INR,89996.06,,Under Review,0,0
TX000113,2021-01-25,C003,CC107,PC201,Logistics,Expense,301064.71,259717.51,Paid,Procurement,INR,54529.97,,Approved,0,0
TX000112,2021-01-25,C001,CC102,PC202,Office Supplies,Expense,42733.32,42803.04,Pending,IT,INR,4932.11,,Pending,0,0
TX000052,2021-01-25,C002,CC108,PC207,Maintenance,Expense,11304.23,12284.19,Paid,Administration,INR,1953.92,,Approved,0,0
TX000033,2021-01-25,C001,CC105,PC201,Marketing,Expense,286633.74,253220.37,Partially Paid,Marketing,INR,0.0,,Approved,0,0
TX000017,2021-01-25,C003,CC105,PC202,Other,Expense,58772.39,70492.43,Paid,Marketing,INR,6166.16,,Approved,0,0
TX000008,2021-01-25,C002,CC107,PC202,Logistics,Expense,111048.76,118911.96,Paid,Procurement,INR,19892.17,,Approved,0,0
TX000030,2021-01-26,C001,CC112,PC207,Utilities,Expense,19944.42,20492.63,Overdue,Operations,INR,2481.97,,Approved,0,0
TX000103,2021-01-27,C005,CC107,PC204,Office Supplies,Expense,48450.96,64777.05,Paid,Procurement,INR,5634.91,,Approved,0,0
TX000066,2021-01-27,C002,CC104,PC204,Other,Expense,149120.96,185319.03,Paid,Sales,INR,14708.22,,Approved,0,0
TX000026,2021-01-27,C003,CC102,PC202,IT,Expense,329271.52,393952.53,Paid,IT,INR,58757.09,,Approved,0,0
TX000092,2021-01-28,C005,CC111,PC205,Sales,Revenue,287599.44,369274.97,Overdue,Sales,INR,51924.19,76704.98,Approved,0,0
TX000068,2021-01-28,C001,CC108,PC206,Utilities,Expense,11019.96,12941.26,Paid,Administration,INR,1320.19,,Approved,0,0
TX000062,2021-01-28,C001,CC104,PC206,Other,Expense,80002.6,94722.47,Paid,Sales,INR,7806.18,,Pending,0,0
TX000044,2021-01-28,C001,CC104,PC202,Travel,Expense,36862.25,39614.36,Paid,Sales,INR,1861.82,,Approved,0,0
TX000028,2021-01-28,C003,CC106,PC204,Utilities,Expense,99141.78,120938.23,Pending,Operations,INR,11971.1,,Approved,0,0
TX000007,2021-01-28,C004,CC106,PC204,Maintenance,Expense,277899.45,344750.45,Paid,Operations,INR,51961.79,,Approved,0,0
TX000116,2021-01-29,C002,CC109,PC203,Office Supplies,Expense,5790.15,5630.15,Pending,Finance,INR,732.54,,Approved,0,0
TX000086,2021-01-29,C002,CC103,PC207,Office Supplies,Expense,28152.36,31347.02,Pending,HR,INR,3569.22,,Approved,0,0
TX000079,2021-01-29,C001,CC113,PC201,Travel,Expense,62300.35,56309.68,Paid,Marketing,INR,3014.98,,Approved,0,0
TX000073,2021-01-29,C001,CC111,PC203,Sales,Revenue,402995.16,358633.57,Paid,Sales,INR,71460.58,149569.84,Approved,0,0
TX000071,2021-01-29,C004,CC104,PC205,Sales,Revenue,808974.57,804531.3,Paid,Sales,INR,142217.56,164711.4,Approved,0,0
TX000019,2021-01-29,C001,CC111,PC206,Travel,Expense,61063.01,71184.41,Partially Paid,Sales,INR,2956.27,,Pending,0,0
TX000009,2021-01-29,C003,CC110,PC204,Maintenance,Expense,75309.21,70944.68,Paid,IT,INR,13274.42,,Approved,0,0
TX000117,2021-01-30,C002,CC113,PC203,IT,Expense,241802.62,298968.72,Paid,Marketing,INR,0.0,,Approved,0,0
TX000099,2021-01-30,C001,CC111,PC207,Sales,Revenue,334324.66,385393.29,Paid,Sales,INR,58674.37,113741.12,Approved,0,0
TX000077,2021-01-31,C005,CC104,PC201,Sales,Revenue,630485.67,551859.62,Paid,Sales,INR,114656.71,151037.73,Approved,0,0
TX000050,2021-01-31,C001,CC109,PC201,IT,Expense,216356.54,207621.45,Pending,Finance,INR,39342.22,,Approved,0,0
TX000209,2021-02-01,C005,CC105,PC201,Marketing,Expense,1451743.47,331713.97,Paid,Marketing,INR,59462.62,,Rejected,1,1
TX000177,2021-02-01,C002,CC101,PC202,Office Supplies,Expense,20387.31,20129.94,Paid,Finance,INR,2411.5,,Rejected,0,0
TX000122,2021-02-01,C001,CC104,PC205,Sales,Revenue,307054.87,337597.16,Partially Paid,Sales,INR,56089.3,127935.84,Rejected,0,0
TX000120,2021-02-01,C003,CC107,PC207,Logistics,Expense,146919.35,133200.31,Paid,Procurement,INR,25983.61,,Approved,0,0
TX000214,2021-02-02,C002,CC103,PC206,Sales,Revenue,126797.64,131549.33,Paid,Sales,INR,22218.05,28327.18,Approved,0,0
TX000206,2021-02-02,C004,CC107,PC201,Logistics,Expense,253408.86,337407.0,Paid,Procurement,INR,45857.56,,Rejected,0,0
TX000186,2021-02-02,C002,CC109,PC202,Office Supplies,Expense,6409.27,5806.03,Partially Paid,Finance,INR,755.48,,Approved,0,0
TX000171,2021-02-02,C002,CC104,PC204,Other,Expense,184283.71,188278.33,Paid,Sales,INR,18575.7,,Approved,0,0
TX000152,2021-02-02,C004,CC104,PC204,Sales,Revenue,202498.57,255285.92,Overdue,Sales,INR,36111.2,45929.67,Approved,0,0
TX009748,2021-02-03,C001,CC110,PC203,Maintenance,Expense,60859.04,68147.77,Paid,IT,INR,10367.43,,Approved,0,0
TX000222,2021-02-03,C001,CC114,PC202,Utilities,Expense,23797.43,25649.36,Overdue,Administration,INR,2906.3,,Approved,0,0
TX000216,2021-02-03,C004,CC101,PC201,Office Supplies,Expense,34540.18,33936.92,Paid,Finance,INR,4094.69,,Approved,0,0
TX000203,2021-02-03,C003,CC102,PC205,Maintenance,Expense,165541.55,140538.92,Pending,IT,INR,28723.74,,Approved,0,0
TX000139,2021-02-03,C001,CC110,PC203,Maintenance,Expense,60859.04,68147.77,Paid,IT,INR,10367.43,,Approved,0,0
TX000134,2021-02-03,C001,CC111,PC202,Travel,Expense,49165.11,59109.0,Paid,Sales,INR,2435.37,,Approved,0,0
TX000224,2021-02-04,C001,CC109,PC206,Other,Expense,32196.09,31742.78,Partially Paid,Finance,INR,3146.09,,Approved,0,0
TX000210,2021-02-04,C005,CC111,PC202,Sales,Revenue,633366.84,559984.71,Paid,Sales,INR,115481.89,277559.4,Approved,0,0
TX000160,2021-02-04,C001,CC104,PC203,Travel,Expense,64883.5,64008.17,Paid,Sales,INR,3198.09,,Approved,0,0
TX009794,2021-02-05,C003,CC111,PC206,Sales,Revenue,444053.91,557872.24,Paid,Sales,INR,79745.26,111326.01,Rejected,0,0
TX000227,2021-02-05,C002,CC101,PC205,IT,Expense,301592.08,343485.47,Paid,Finance,INR,51458.74,,Approved,0,0
TX000201,2021-02-05,C002,CC111,PC203,Sales,Revenue,508998.53,513544.9,Overdue,Sales,INR,94538.34,176967.96,Approved,0,0
TX000193,2021-02-05,C003,CC103,PC205,Travel,Expense,24672.23,28528.5,Paid,HR,INR,1250.06,,Approved,0,0
TX000183,2021-02-05,C004,CC111,PC204,Other,Expense,97566.27,93845.96,Paid,Sales,INR,10097.98,,Pending,0,0
TX000126,2021-02-05,C003,CC111,PC206,Sales,Revenue,444053.91,557872.24,Paid,Sales,INR,79745.26,111326.01,Rejected,0,0
TX000124,2021-02-05,C003,CC105,PC206,Marketing,Expense,278538.01,283580.3,Overdue,Marketing,INR,49414.9,,Under Review,0,0
TX000121,2021-02-05,C001,CC112,PC206,Logistics,Expense,252491.02,221670.61,Paid,Operations,INR,44305.5,,Approved,0,0
TX000237,2021-02-06,C004,CC113,PC201,IT,Expense,253687.96,269811.4,Paid,Marketing,INR,45466.2,,Under Review,0,0
TX000236,2021-02-06,C001,CC104,PC202,Sales,Revenue,587695.6,575542.47,Pending,Sales,INR,105982.98,166558.2,Approved,0,0
TX000229,2021-02-06,C004,CC103,PC206,Travel,Expense,95185.15,125298.94,Paid,HR,INR,4732.65,,Approved,0,0
TX000223,2021-02-06,C003,CC101,PC205,IT,Expense,216769.05,215554.62,Pending,Finance,INR,39023.54,,Approved,0,0
TX000207,2021-02-06,C001,CC104,PC206,Other,Expense,120529.59,137927.35,Paid,Sales,INR,12287.07,,Approved,0,0
TX000130,2021-02-06,C001,CC104,PC202,Travel,Expense,109902.7,101784.18,Partially Paid,Sales,INR,5031.65,,Approved,0,0
TX000233,2021-02-07,C002,CC112,PC201,Logistics,Expense,172889.3,178938.83,Paid,Operations,INR,30694.56,,Approved,0,0
TX000228,2021-02-07,C001,CC108,PC204,Other,Expense,92198.71,96331.12,Overdue,Administration,INR,8962.35,,Approved,0,0
TX000221,2021-02-07,C004,CC104,PC206,Sales,Revenue,1067599.98,1172842.97,Pending,Sales,INR,190488.4,413939.49,Approved,0,0
TX000196,2021-02-07,C002,CC106,PC201,Sales,Revenue,859550.48,998183.78,Paid,Sales,INR,159197.37,320818.27,Approved,0,0
TX000184,2021-02-07,C005,CC111,PC207,Marketing,Expense,387406.57,363817.35,Pending,Sales,INR,71609.36,,Approved,0,0
TX000125,2021-02-07,C003,CC109,PC201,Salaries,Expense,283977.04,258387.21,Paid,Finance,INR,0.0,,Approved,0,0
TX000219,2021-02-08,C005,CC114,PC205,Maintenance,Expense,66972.07,77235.13,Pending,Administration,INR,11978.62,,Rejected,0,0
TX000190,2021-02-08,C005,CC113,PC207,Marketing,Expense,194287.05,202648.63,Pending,Marketing,INR,33163.45,,Approved,0,0
TX000132,2021-02-09,C003,CC109,PC204,Salaries,Expense,348989.52,373080.3,Paid,Finance,INR,0.0,,Pending,0,0
TX000131,2021-02-09,C002,CC114,PC204,Other,Expense,27138.93,26524.07,Paid,Administration,INR,2680.39,,Rejected,0,0
TX000144,2021-02-10,C001,CC114,PC202,Maintenance,Expense,91662.02,118597.75,Pending,Administration,INR,15868.77,,Approved,0,0
