Transaction_ID,Transaction_Date,Company_Code,Cost_Center,Profit_Center,Account_Category,Transaction_Type,Amount,Budget,Payment_Status,Description,Quantity,Department,Currency,Invoice_ID,Vendor_ID,Tax_Amount,Profit,Approval_Status,Anomaly_Indicator,Year,Month,Quarter,Budget_Variance,Budget_Utilization
TX002241,2022-07-05,C002,CC109,PC207,Salaries,Expense,183768.57,183965.99,Pending,Employee payroll disbursement,1.0,Finance,INR,,,0.0,,Approved,0,2022,7,3,-197.4199999999837,99.89268668627284
TX002325,2022-05-17,C002,CC110,PC201,Procurement,Expense,218148.19,184653.8,Paid,Vendor purchase order settlement,178.0,IT,INR,INV-2022-01829,V019,37967.67,,Approved,0,2022,5,2,33494.390000000014,118.13902015555595
TX004107,2023-05-30,C001,CC112,PC205,Procurement,Expense,335699.21,317327.44,Partially Paid,Software license purchase,236.0,Operations,INR,INV-2023-03230,V029,60230.88,,Approved,0,2023,5,2,18371.77000000002,105.78953083918618
TX005769,2024-03-05,C002,CC101,PC207,Salaries,Expense,278504.2,245556.44,Overdue,Employee payroll disbursement,1.0,Finance,INR,,,0.0,,Approved,0,2024,3,1,32947.76000000001,113.41759149138991
TX004401,2023-06-22,C004,CC107,PC204,Logistics,Expense,198784.46,198599.3,Paid,Shipping cost settlement,210.0,Procurement,INR,,V028,33972.57,,Approved,0,2023,6,2,185.1600000000035,100.09323295701444
TX008985,2025-09-06,C002,CC101,PC204,IT,Expense,564370.62,691700.1,Paid,IT support services,8.0,Finance,INR,INV-2025-07046,V003,102349.92,,Under Review,0,2025,9,3,-127329.47999999998,81.59180835740808
TX004548,2023-05-07,C001,CC102,PC203,Sales,Revenue,240081.56,218753.04,Overdue,Service revenue recognition,167.0,Sales,INR,INV-2023-03581,,44167.36,80898.29,Approved,0,2023,5,2,21328.51999999999,109.75004507365932
TX006505,2024-12-07,C001,CC111,PC201,Marketing,Expense,642727.99,440195.02,Paid,Brand promotion expense,1.0,Sales,INR,INV-2024-05112,V032,0.0,,Approved,0,2024,12,4,202532.97,146.0098276441201
TX004477,2023-07-16,C004,CC108,PC204,Other,Expense,51902.41,62195.73,Paid,General ledger correction entry,1.0,Administration,INR,INV-2023-03525,,5094.01,,Approved,0,2023,7,3,-10293.32,83.45011787786719
TX006442,2024-07-24,C004,CC107,PC205,Procurement,Expense,657185.66,645805.16,Paid,Raw material procurement,466.0,Procurement,INR,INV-2024-05062,V009,108867.07,,Approved,0,2024,7,3,11380.5,101.7622188091529
TX008716,2025-07-27,C002,CC105,PC202,Marketing,Expense,715208.88,611083.17,Overdue,Brand promotion expense,1.0,Marketing,INR,INV-2025-06836,V017,134284.16,,Approved,0,2025,7,3,104125.70999999996,117.03953162382136
TX000472,2021-04-07,C002,CC105,PC205,IT,Expense,40199.35,38053.54,Partially Paid,Cloud infrastructure subscription,10.0,Marketing,INR,INV-2021-00372,V004,6974.99,,Under Review,0,2021,4,2,2145.8099999999977,105.63892347466228
TX008316,2025-05-08,C002,CC105,PC204,Marketing,Expense,441696.26,476044.38,Partially Paid,Brand promotion expense,1.0,Marketing,INR,INV-2025-06535,V001,83511.49,,Approved,0,2025,5,2,-34348.119999999995,92.78468112573874
TX004739,2023-04-09,C003,CC101,PC203,Salaries,Expense,455039.47,447800.24,Overdue,Employee payroll disbursement,1.0,Finance,INR,,,0.0,,Pending,0,2023,4,2,7239.229999999981,101.61662039305742
TX000736,2021-06-09,C002,CC103,PC206,Sales,Revenue,355572.52,423040.58,Overdue,Customer order fulfillment revenue,372.0,Sales,INR,INV-2021-00576,,66523.41,75870.73,Pending,0,2021,6,2,-67468.06,84.05163400636411
TX006968,2024-08-10,C003,CC109,PC201,Salaries,Expense,415169.65,410516.96,Paid,Monthly salary payment,1.0,Finance,INR,,,0.0,,Approved,0,2024,8,3,4652.690000000002,101.1333733933916
TX006940,2024-10-18,C001,CC103,PC207,Other,Expense,65798.81,50207.63,Overdue,Sundry adjustment,1.0,HR,INR,INV-2024-05446,,6607.65,,Approved,0,2024,10,4,15591.18,131.0534076195192
TX009122,2025-10-25,C003,CC114,PC202,Utilities,Expense,46503.77,41889.93,Paid,Water and gas utility charge,1.0,Administration,INR,INV-2025-07157,V025,5472.9,,Approved,0,2025,10,4,4613.8399999999965,111.014198400427
TX007008,2024-10-30,C004,CC109,PC205,Office Supplies,Expense,23162.95,26251.9,Partially Paid,Stationery order,20.0,Finance,INR,,,0.0,,Approved,0,2024,10,4,-3088.9500000000007,88.23342310461338
TX006152,2024-05-10,C002,CC106,PC203,Procurement,Expense,870574.91,880319.69,Paid,Vendor purchase order settlement,1094.0,Operations,INR,INV-2024-04835,V014,148394.05,,Approved,0,2024,5,2,-9744.779999999912,98.89304077703864
TX009409,2025-11-16,C002,CC102,PC202,Office Supplies,Expense,57283.64,53224.84,Paid,Office supplies purchase,66.0,IT,INR,INV-2025-07378,,6613.49,,Approved,0,2025,11,4,4058.800000000003,107.62576270778833
TX003391,2022-03-12,C001,CC108,PC205,Utilities,Expense,12884.05,13535.68,Overdue,Electricity bill payment,1.0,Administration,INR,INV-2022-02667,,0.0,,Approved,0,2022,3,1,-651.630000000001,95.1858347715076
TX001512,2021-12-30,C001,CC106,PC201,Maintenance,Expense,87543.81,119243.1,Pending,Equipment maintenance,1.0,Operations,INR,INV-2021-01204,V011,16036.13,,Approved,0,2021,12,4,-31699.290000000008,73.4162479841601
TX009680,2025-12-31,C003,CC102,PC205,Procurement,Expense,740342.65,724652.09,Pending,Software license purchase,693.0,IT,INR,,V036,136369.64,,Approved,0,2025,12,4,15690.560000000056,102.16525422565192
TX006503,2024-07-17,C001,CC109,PC203,Other,Expense,105045.07,122740.08,Pending,General ledger correction entry,1.0,Finance,INR,INV-2024-05111,,10260.68,,Approved,0,2024,7,3,-17695.009999999995,85.58334816141557
TX008593,2025-07-17,C003,CC108,PC202,Other,Expense,41565.81,32450.34,Paid,Sundry adjustment,1.0,Administration,INR,INV-2025-06748,,3818.14,,Pending,0,2025,7,3,9115.469999999998,128.09052231810205
TX004744,2023-09-17,C003,CC109,PC202,IT,Expense,212657.35,216207.84,Paid,IT support services,34.0,Finance,INR,INV-2023-03735,V022,39323.79,,Approved,0,2023,9,3,-3550.4899999999907,98.35783475751852
TX001213,2021-10-19,C001,CC106,PC202,Sales,Revenue,636546.44,570770.04,Paid,Export sales revenue,506.0,Sales,INR,INV-2021-00970,,116975.1,243703.3,Approved,0,2021,10,4,65776.3999999999,111.52415077708002
TX005205,2023-11-19,C005,CC114,PC201,Other,Expense,9583.42,9018.31,Paid,Sundry adjustment,1.0,Administration,INR,,,923.64,,Approved,0,2023,11,4,565.1100000000006,106.2662516591246
TX000090,2021-01-20,C001,CC102,PC202,Office Supplies,Expense,29943.99,29135.69,Paid,Stationery order,27.0,IT,INR,INV-2021-00064,V025,3553.43,,Under Review,0,2021,1,1,808.3000000000029,102.77426070911658
TX000197,2021-02-20,C004,CC105,PC207,Travel,Expense,148933.17,160396.2,Partially Paid,Business travel expense,3.0,Marketing,INR,INV-2021-00151,,7440.07,,Approved,0,2021,2,1,-11463.03,92.85330325780784
TX008692,2025-07-20,C002,CC106,PC207,Maintenance,Expense,237406.22,229479.15,Paid,Preventive maintenance contract,1.0,Operations,INR,INV-2025-06819,V025,42151.65,,Approved,0,2025,7,3,7927.070000000007,103.45437483100316
TX005349,2023-12-20,C002,CC104,PC207,Sales,Revenue,648694.96,907266.72,Paid,Service revenue recognition,799.0,Sales,INR,,,118909.77,168268.43,Approved,0,2023,12,4,-258571.76,71.49991790727206
TX000104,2021-01-01,C003,CC105,PC205,Travel,Expense,68740.3,75933.53,Partially Paid,Client visit travel reimbursement,1.0,Marketing,INR,INV-2021-00077,,3376.8,,Approved,0,2021,1,1,-7193.229999999996,90.52693849475985
TX000087,2021-01-01,C001,CC105,PC202,Marketing,Expense,185300.97,195127.56,Paid,Trade show sponsorship,1.0,Marketing,INR,,V019,0.0,,Approved,0,2021,1,1,-9826.589999999997,94.96401738432029
TX000053,2021-01-01,C001,CC104,PC202,Sales,Revenue,489223.31,466295.25,Partially Paid,Export sales revenue,353.0,Sales,INR,INV-2021-00041,,86671.66,170939.0,Approved,0,2021,1,1,22928.06,104.9170691745198
TX000047,2021-01-01,C002,CC104,PC204,Sales,Revenue,133257.58,145793.08,Paid,Product sales revenue,93.0,Sales,INR,,,23594.9,47721.98,Under Review,0,2021,1,1,-12535.5,91.40185528695876
TX000041,2021-01-01,C001,CC109,PC207,Salaries,Expense,182655.0,200553.8,Paid,Salary and benefits payout,1.0,Finance,INR,,,0.0,,Approved,0,2021,1,1,-17898.79999999999,91.07531245979882
TX000039,2021-01-01,C004,CC114,PC205,Utilities,Expense,24106.68,19982.05,Overdue,Electricity bill payment,1.0,Administration,INR,INV-2021-00032,V037,2766.49,,Approved,0,2021,1,1,4124.630000000001,120.64167590412396
TX000034,2021-01-01,C003,CC102,PC202,IT,Expense,342374.67,385633.29,Paid,Cloud infrastructure subscription,1.0,IT,INR,,V016,0.0,,Approved,0,2021,1,1,-43258.62,88.78244666066044
TX000029,2021-01-01,C004,CC108,PC204,Maintenance,Expense,54651.99,45606.29,Paid,Preventive maintenance contract,1.0,Administration,INR,,V003,9371.39,,Approved,0,2021,1,1,9045.699999999995,119.83432548448909
TX000018,2021-01-01,C004,CC109,PC203,Other,Expense,88396.27,87985.59,Overdue,General ledger correction entry,1.0,Finance,INR,INV-2021-00017,,8041.99,,Approved,0,2021,1,1,410.6800000000076,100.46675824984524
TX000114,2021-01-02,C001,CC107,PC207,Office Supplies,Expense,46257.65,36547.18,Partially Paid,Stationery order,39.0,Procurement,INR,INV-2021-00085,V035,5592.07,,Approved,0,2021,1,1,9710.47,126.56968335176612
TX000084,2021-01-02,C003,CC104,PC203,Sales,Revenue,943217.88,1175953.51,Overdue,Customer order fulfillment revenue,714.0,Sales,INR,INV-2021-00062,,169996.18,425072.94,Approved,0,2021,1,1,-232735.63,80.20877287912512
TX000074,2021-01-02,C004,CC102,PC203,Office Supplies,Expense,28057.57,28727.0,Paid,Stationery order,31.0,IT,INR,INV-2021-00053,V038,3249.27,,Approved,0,2021,1,1,-669.4300000000003,97.6696835729453
TX000058,2021-01-02,C005,CC106,PC205,Procurement,Expense,1704418.37,531059.56,Paid,Raw material procurement,229.0,Operations,INR,,V002,306526.87,,Approved,1,2021,1,1,1173358.81,320.9467446551569
TX000032,2021-01-02,C001,CC114,PC203,Other,Expense,48449.43,61815.85,Pending,Sundry adjustment,1.0,Administration,INR,,,4616.41,,Approved,0,2021,1,1,-13366.419999999998,78.37703436901701
TX000014,2021-01-02,C005,CC113,PC204,Other,Expense,44225.15,35861.41,Pending,General ledger correction entry,1.0,Marketing,INR,INV-2021-00014,,4379.36,,Rejected,0,2021,1,1,8363.739999999998,123.32239585671616
TX000094,2021-01-03,C002,CC109,PC202,Office Supplies,Expense,25122.38,23773.94,Paid,Stationery order,15.0,Finance,INR,INV-2021-00067,V024,3088.97,,Rejected,0,2021,1,1,1348.4400000000023,105.67192480505967
TX000088,2021-01-03,C005,CC102,PC204,Maintenance,Expense,28211.47,30140.83,Paid,Facility repair service,1.0,IT,INR,,V034,4900.75,,Pending,0,2021,1,1,-1929.3600000000008,93.59884913587317
TX000064,2021-01-03,C001,CC114,PC203,Utilities,Expense,10112.59,10186.53,Paid,Electricity bill payment,1.0,Administration,INR,,V034,1244.35,,Approved,0,2021,1,1,-73.94000000000051,99.27413947634768
TX000036,2021-01-03,C001,CC104,PC201,Sales,Revenue,453694.55,494434.16,Overdue,Online sales revenue,575.0,Sales,INR,INV-2021-00029,,76133.72,170511.69,Approved,0,2021,1,1,-40739.60999999999,91.76035693003088
TX000024,2021-01-03,C001,CC113,PC203,Other,Expense,79989.03,70297.08,Partially Paid,Miscellaneous expense,1.0,Marketing,INR,INV-2021-00023,,7869.17,,Approved,0,2021,1,1,9691.949999999995,113.78713027625044
TX000101,2021-01-04,C003,CC112,PC203,Logistics,Expense,256778.35,295199.66,Pending,Freight and logistics charge,149.0,Operations,INR,INV-2021-00074,V021,44504.14,,Approved,0,2021,1,1,-38421.30999999997,86.98463609341557
TX000091,2021-01-04,C002,CC113,PC205,Travel,Expense,62878.92,53519.49,Paid,Airfare and lodging expense,1.0,Marketing,INR,INV-2021-00065,,3153.09,,Approved,0,2021,1,1,9359.43,117.48789085994652
TX000016,2021-01-04,C003,CC109,PC206,Office Supplies,Expense,40291.51,42919.91,Paid,Stationery order,31.0,Finance,INR,INV-2021-00016,V025,4877.68,,Approved,0,2021,1,1,-2628.400000000001,93.87603562076434
TX009712,2021-01-05,C001,CC107,PC202,Logistics,Expense,133369.93,135228.8,Paid,Shipping cost settlement,79.0,Procurement,INR,INV-2021-00044,V023,22631.04,,Approved,0,2021,1,1,-1858.8699999999956,98.62538897039684
TX000069,2021-01-05,C002,CC106,PC204,Utilities,Expense,85474.9,96887.12,Overdue,Utility bill,1.0,Operations,INR,INV-2021-00049,V001,10298.31,,Approved,0,2021,1,1,-11412.22,88.22111752315477
TX000067,2021-01-05,C002,CC112,PC202,Maintenance,Expense,91812.29,72765.32,Paid,Preventive maintenance contract,1.0,Operations,INR,,V016,16849.31,,Approved,0,2021,1,1,19046.969999999987,126.17588983323373
TX000057,2021-01-05,C001,CC107,PC202,Logistics,Expense,133369.93,135228.8,Paid,Shipping cost settlement,79.0,Procurement,INR,INV-2021-00044,V023,22631.04,,Approved,0,2021,1,1,-1858.8699999999956,98.62538897039684
TX000035,2021-01-05,C003,CC109,PC203,Office Supplies,Expense,20120.59,23874.41,Paid,Stationery order,28.0,Finance,INR,INV-2021-00028,V025,2354.81,,Approved,0,2021,1,1,-3753.82,84.27680516502816
TX000096,2021-01-06,C003,CC105,PC203,IT,Expense,206338.1,236294.88,Paid,Hardware upgrade purchase,1.0,Marketing,INR,INV-2021-00069,V038,36475.24,,Approved,0,2021,1,1,-29956.78,87.32228984394415
TX000011,2021-01-06,C003,CC108,PC206,Office Supplies,Expense,14387.66,12876.02,Paid,Stationery order,10.0,Administration,INR,INV-2021-00011,V014,1785.14,,Approved,0,2021,1,1,1511.6399999999994,111.73996312525144
TX000002,2021-01-06,C001,CC113,PC205,Marketing,Expense,112984.7,124172.46,Paid,Digital advertising spend,1.0,Marketing,INR,INV-2021-00002,V027,0.0,,Approved,0,2021,1,1,-11187.76000000001,90.99014386926054
TX000022,2021-01-07,C001,CC103,PC204,Sales,Revenue,296754.81,368764.23,Pending,Customer order fulfillment revenue,185.0,Sales,INR,INV-2021-00021,,54489.06,82675.69,Pending,0,2021,1,1,-72009.41999999998,80.47277524720877
TX000048,2021-01-08,C002,CC106,PC205,Utilities,Expense,65530.75,72838.25,Paid,Electricity bill payment,1.0,Operations,INR,,V024,7839.3,,Approved,0,2021,1,1,-7307.5,89.9674964733502
TX000042,2021-01-08,C003,CC106,PC204,Utilities,Expense,96883.69,92943.88,Paid,Utility bill,1.0,Operations,INR,INV-2021-00034,V012,11938.99,,Approved,0,2021,1,1,3939.8099999999977,104.23891277187911
TX000040,2021-01-08,C001,CC103,PC207,Other,Expense,62275.5,74632.02,Paid,Sundry adjustment,1.0,HR,INR,INV-2021-00033,,6045.03,,Approved,0,2021,1,1,-12356.520000000004,83.4434067307839
TX000021,2021-01-08,C001,CC110,PC205,Office Supplies,Expense,20865.95,23173.31,Paid,Printer consumables purchase,16.0,IT,INR,INV-2021-00020,V010,2385.24,,Pending,0,2021,1,1,-2307.3600000000006,90.0430279489637
TX000010,2021-01-08,C003,CC102,PC202,Office Supplies,Expense,51376.1,46047.93,Paid,Office supplies purchase,70.0,IT,INR,INV-2021-00010,V040,6083.02,,Approved,0,2021,1,1,5328.169999999998,111.5709218633715
TX000106,2021-01-09,C003,CC105,PC203,Travel,Expense,122348.76,137807.98,Paid,Airfare and lodging expense,1.0,Marketing,INR,INV-2021-00079,,6112.89,,Rejected,0,2021,1,1,-15459.220000000016,88.78205746866037
TX000102,2021-01-09,C001,CC109,PC205,IT,Expense,168624.62,149939.25,Paid,IT support services,3.0,Finance,INR,INV-2021-00075,V037,29007.78,,Approved,0,2021,1,1,18685.369999999995,112.46196042730638
TX000085,2021-01-09,C002,CC102,PC207,IT,Expense,32389.09,31602.6,Paid,Hardware upgrade purchase,3.0,IT,INR,INV-2021-00063,V015,5725.62,,Approved,0,2021,1,1,786.4900000000016,102.4886876396246
TX000076,2021-01-09,C002,CC106,PC205,Procurement,Expense,867385.79,856429.48,Paid,Raw material procurement,482.0,Operations,INR,INV-2021-00055,V016,0.0,,Approved,0,2021,1,1,10956.310000000056,101.27930089468664
TX000075,2021-01-09,C001,CC101,PC203,Office Supplies,Expense,27291.85,32073.93,Paid,Printer consumables purchase,31.0,Finance,INR,INV-2021-00054,V005,3274.57,,Approved,0,2021,1,1,-4782.080000000002,85.09044572960033
TX000070,2021-01-09,C002,CC111,PC202,Travel,Expense,59377.24,67410.04,Paid,Business travel expense,2.0,Sales,INR,,,2931.66,,Rejected,0,2021,1,1,-8032.799999999996,88.08367418265884
TX000093,2021-01-10,C005,CC107,PC203,Maintenance,Expense,45924.62,51853.71,Overdue,Preventive maintenance contract,1.0,Procurement,INR,INV-2021-00066,V031,8245.84,,Approved,0,2021,1,1,-5929.0899999999965,88.56573618358263
TX000027,2021-01-10,C002,CC111,PC205,Marketing,Expense,444924.24,396129.6,Paid,Digital advertising spend,1.0,Sales,INR,INV-2021-00025,V037,83124.83,,Approved,0,2021,1,1,48794.640000000014,112.31784749233584
TX000013,2021-01-10,C003,CC109,PC201,IT,Expense,113901.52,129254.68,Paid,Hardware upgrade purchase,16.0,Finance,INR,INV-2021-00013,V026,20760.91,,Approved,0,2021,1,1,-15353.159999999987,88.12177632562319
TX000004,2021-01-10,C003,CC101,PC204,IT,Expense,142094.88,154131.35,Pending,Cloud infrastructure subscription,1.0,Finance,INR,INV-2021-00004,V018,24452.03,,Approved,0,2021,1,1,-12036.47,92.19077105339048
TX000105,2021-01-11,C004,CC113,PC207,Other,Expense,71028.38,72570.17,Overdue,Sundry adjustment,1.0,Marketing,INR,INV-2021-00078,,7406.63,,Approved,0,2021,1,1,-1541.7899999999936,97.87544937541142
TX000059,2021-01-11,C001,CC104,PC206,Other,Expense,110702.02,119230.05,Paid,General ledger correction entry,1.0,Sales,INR,,,11295.78,,Approved,0,2021,1,1,-8528.029999999999,92.84741556344228
TX000023,2021-01-11,C004,CC102,PC201,Maintenance,Expense,121953.35,139390.64,Paid,Equipment maintenance,1.0,IT,INR,INV-2021-00022,V017,23096.44,,Approved,0,2021,1,1,-17437.290000000008,87.49034368448268
TX000003,2021-01-11,C004,CC103,PC203,Office Supplies,Expense,16230.6,16450.8,Paid,Printer consumables purchase,11.0,HR,INR,INV-2021-00003,V005,1974.12,,Approved,0,2021,1,1,-220.1999999999989,98.66146327230288
TX000097,2021-01-12,C004,CC104,PC203,Sales,Revenue,784397.58,637163.88,Partially Paid,Product sales revenue,1065.0,Sales,INR,INV-2021-00070,,142111.12,392390.33,Approved,0,2021,1,1,147233.69999999995,123.10766580177145
TX000080,2021-01-12,C003,CC104,PC202,Sales,Revenue,481709.16,502965.98,Paid,Online sales revenue,414.0,Sales,INR,INV-2021-00059,,85220.88,178619.0,Pending,0,2021,1,1,-21256.820000000007,95.77370620573582
TX000037,2021-01-12,C001,CC110,PC205,Procurement,Expense,423459.98,434821.13,Paid,Software license purchase,416.0,IT,INR,INV-2021-00030,V012,74838.77,,Approved,0,2021,1,1,-11361.150000000023,97.38716699439146
TX000043,2021-01-13,C002,CC104,PC204,Sales,Revenue,922555.79,1065769.12,Pending,Export sales revenue,663.0,Sales,INR,INV-2021-00035,,163532.59,252941.98,Approved,0,2021,1,1,-143213.33000000007,86.56244328039828
TX000031,2021-01-13,C001,CC111,PC205,Travel,Expense,36333.65,44873.94,Paid,Airfare and lodging expense,1.0,Sales,INR,,,1854.49,,Approved,0,2021,1,1,-8540.29,80.96826354004128
TX000115,2021-01-14,C002,CC101,PC205,Other,Expense,90310.6,92555.49,Paid,Sundry adjustment,1.0,Finance,INR,,,8822.07,,Approved,0,2021,1,1,-2244.8899999999994,97.57454690153985
TX000098,2021-01-14,C005,CC113,PC205,Other,Expense,83720.61,71003.16,Pending,Miscellaneous expense,1.0,Marketing,INR,INV-2021-00071,,8189.77,,Approved,0,2021,1,1,12717.449999999995,117.91110423817756
TX000095,2021-01-14,C001,CC106,PC205,Procurement,Expense,125540.79,166683.25,Paid,Office equipment purchase,187.0,Operations,INR,INV-2021-00068,,23374.99,,Approved,0,2021,1,1,-41142.46000000001,75.31697996049392
TX000072,2021-01-14,C002,CC111,PC207,Office Supplies,Expense,12538.32,12835.77,Paid,Printer consumables purchase,10.0,Sales,INR,INV-2021-00051,,1505.92,,Approved,0,2021,1,1,-297.4500000000007,97.6826477881732
TX000046,2021-01-14,C001,CC104,PC207,Marketing,Expense,376804.65,422459.79,Paid,Trade show sponsorship,1.0,Sales,INR,,V004,66859.2,,Approved,0,2021,1,1,-45655.13999999996,89.19302118670277
TX000109,2021-01-15,C005,CC109,PC206,Office Supplies,Expense,26068.0,30792.79,Partially Paid,Printer consumables purchase,21.0,Finance,INR,,V003,3145.01,,Approved,0,2021,1,1,-4724.790000000001,84.65618087870568
TX000083,2021-01-15,C003,CC101,PC202,Office Supplies,Expense,15553.02,15507.29,Paid,Printer consumables purchase,14.0,Finance,INR,INV-2021-00061,V027,1846.44,,Under Review,0,2021,1,1,45.72999999999956,100.29489356296295
TX000025,2021-01-15,C002,CC106,PC207,Utilities,Expense,72713.53,79785.33,Paid,Utility bill,1.0,Operations,INR,,V011,0.0,,Approved,0,2021,1,1,-7071.800000000003,91.13646581395352
TX000111,2021-01-16,C001,CC106,PC207,Sales,Revenue,238491.86,191567.51,Paid,Online sales revenue,192.0,Sales,INR,INV-2021-00082,,41820.62,103265.89,Approved,0,2021,1,1,46924.34999999998,124.49494175708604
TX000110,2021-01-16,C002,CC112,PC201,Logistics,Expense,85069.26,92278.65,Paid,Freight and logistics charge,70.0,Operations,INR,INV-2021-00081,V025,14968.77,,Under Review,0,2021,1,1,-7209.389999999999,92.18736945111355
TX000045,2021-01-16,C003,CC108,PC205,Office Supplies,Expense,8440.74,10319.75,Overdue,Printer consumables purchase,7.0,Administration,INR,INV-2021-00036,V034,1012.37,,Rejected,0,2021,1,1,-1879.01,81.7920976767848
TX000055,2021-01-17,C002,CC107,PC203,Maintenance,Expense,99506.76,83099.78,Paid,Equipment maintenance,1.0,Procurement,INR,INV-2021-00043,V024,18459.51,,Approved,0,2021,1,1,16406.979999999996,119.74371051283168
TX000015,2021-01-17,C004,CC104,PC204,Sales,Revenue,674476.49,590275.19,Paid,Customer order fulfillment revenue,899.0,Sales,INR,INV-2021-00015,,119028.8,158255.45,Approved,0,2021,1,1,84201.30000000005,114.26475336020816
TX000108,2021-01-18,C003,CC104,PC206,Other,Expense,60636.61,72311.78,Paid,Miscellaneous expense,1.0,Sales,INR,,,0.0,,Approved,0,2021,1,1,-11675.169999999998,83.85440103949868
TX000012,2021-01-18,C004,CC110,PC203,IT,Expense,263168.24,199751.01,Paid,Cloud infrastructure subscription,56.0,IT,INR,INV-2021-00012,V005,46601.93,,Approved,0,2021,1,1,63417.22999999998,131.74813984670214
TX000065,2021-01-19,C004,CC105,PC205,Other,Expense,1195597.9,118558.46,Paid,Miscellaneous expense,1.0,Marketing,INR,INV-2021-00046,,0.0,,Approved,0,2021,1,1,1077039.44,1008.4458755621488
TX000063,2021-01-19,C002,CC111,PC206,Travel,Expense,22403.06,23928.53,Partially Paid,Airfare and lodging expense,2.0,Sales,INR,,,1086.35,,Approved,0,2021,1,1,-1525.4699999999975,93.62489045503423
TX000038,2021-01-19,C001,CC101,PC207,Sales,Revenue,98419.08,91625.91,Paid,Customer order fulfillment revenue,85.0,Sales,INR,INV-2021-00031,,18124.84,31855.86,Approved,0,2021,1,1,6793.169999999998,107.41402732043808
TX000020,2021-01-19,C001,CC113,PC201,Travel,Expense,13599.38,11939.72,Paid,Business travel expense,3.0,Marketing,INR,INV-2021-00019,,690.9,,Approved,0,2021,1,1,1659.66,113.90032597079328
TX000006,2021-01-19,C002,CC114,PC207,Office Supplies,Expense,13640.59,12369.05,Overdue,Stationery order,8.0,Administration,INR,INV-2021-00006,V013,1659.4,,Approved,0,2021,1,1,1271.5400000000009,110.28001342059414
TX000100,2021-01-20,C003,CC107,PC203,Logistics,Expense,156321.37,202786.36,Paid,Shipping cost settlement,208.0,Procurement,INR,INV-2021-00073,V037,28123.57,,Pending,0,2021,1,1,-46464.98999999999,77.08672812116161
TX000060,2021-01-20,C003,CC114,PC202,Maintenance,Expense,27993.98,25783.13,Paid,Preventive maintenance contract,1.0,Administration,INR,,V026,5134.74,,Approved,0,2021,1,1,2210.8499999999985,108.5747928975264
TX000051,2021-01-20,C002,CC108,PC204,Office Supplies,Expense,16477.01,18283.6,Paid,"""""",15.0,Administration,INR,INV-2021-00039,V004,1982.35,,Approved,0,2021,1,1,-1806.59,90.11906845479008
